iter	Passed	Remaining
0	8	16704
1	16	16818
2	25	17282
3	33	16888
4	41	16737
5	47	15631
6	56	16224
7	60	15176
8	68	15169
9	72	14377
10	79	14289
11	84	13933
12	90	13848
13	94	13383
14	103	13645
15	107	13344
16	112	13152
17	120	13239
18	131	13679
19	139	13811
20	142	13475
21	151	13605
22	155	13408
23	163	13434
24	171	13546
25	178	13577
26	185	13567
27	193	13647
28	201	13704
29	208	13671
30	216	13772
31	225	13854
32	233	13908
33	241	13983
34	249	14015
35	257	14054
36	266	14116
37	272	14060
38	281	14138
39	289	14191
40	297	14193
41	305	14224
42	308	14055
43	317	14105
44	325	14156
45	333	14170
46	342	14211
47	349	14226
48	357	14233
49	363	14176
50	371	14186
51	373	13996
52	381	14031
53	390	14060
54	398	14096
55	407	14148
56	415	14170
57	424	14198
58	433	14246
59	439	14206
60	442	14079
61	451	14111
62	459	14120
63	466	14097
64	471	14038
65	480	14066
66	489	14111
67	497	14141
68	501	14033
69	509	14057
70	519	14103
71	527	14137
72	536	14169
73	545	14191
74	558	14342
75	573	14517
76	583	14564
77	591	14570
78	598	14565
79	607	14574
80	615	14575
81	624	14597
82	632	14601
83	639	14597
84	647	14595
85	657	14632
86	666	14653
87	675	14673
88	684	14690
89	692	14703
90	701	14710
91	709	14716
92	717	14705
93	725	14718
94	734	14736
95	743	14743
96	746	14641
97	754	14647
98	762	14649
99	771	14666
100	780	14674
101	790	14705
102	798	14697
103	807	14722
104	815	14726
105	824	14737
106	832	14731
107	841	14733
108	847	14694
109	855	14704
110	863	14693
111	871	14690
112	878	14676
113	882	14597
114	890	14594
115	899	14601
116	908	14615
117	916	14615
118	925	14628
119	933	14630
120	940	14610
121	948	14602
122	952	14528
123	961	14547
124	969	14542
125	977	14537
126	985	14534
127	994	14543
128	1003	14554
129	1006	14484
130	1014	14478
131	1023	14480
132	1032	14492
133	1044	14548
134	1053	14551
135	1061	14552
136	1069	14545
137	1078	14548
138	1087	14555
139	1095	14548
140	1105	14577
141	1116	14612
142	1124	14604
143	1131	14589
144	1139	14576
145	1148	14584
146	1155	14568
147	1164	14571
148	1168	14517
149	1176	14515
150	1185	14518
151	1193	14515
152	1202	14514
153	1210	14506
154	1218	14504
155	1226	14500
156	1235	14501
157	1242	14488
158	1250	14476
159	1258	14469
160	1266	14470
161	1274	14463
162	1283	14462
163	1291	14463
164	1301	14469
165	1309	14462
166	1316	14446
167	1324	14440
168	1332	14431
